PLAYER_NAME,SHOT_MADE_FLAG,LOC_X,LOC_Y,high_pres
Jonas Jerebko,0,-37.0,21.0,0
Jahlil Okafor,1,-4.0,7.0,0
Jahlil Okafor,0,-76.0,36.0,0
David Lee,0,-17.0,16.0,0
Amir Johnson,1,-2.0,2.0,0
Isaiah Thomas,1,-42.0,120.0,0
Christian Wood,0,4.0,3.0,0
Tyler Zeller,1,2.0,164.0,0
JaKarr Sampson,1,33.0,46.0,0
Gordon Hayward,1,-7.0,47.0,0
Gordon Hayward,0,-35.0,0.0,0
Reggie Jackson,0,99.0,61.0,0
Marcus Morris,0,-43.0,3.0,0
Raul Neto,0,-19.0,203.0,0
Gordon Hayward,1,-2.0,-6.0,0
Derrick Favors,1,0.0,1.0,0
Derrick Favors,1,78.0,0.0,0
Ersan Ilyasova,0,-56.0,0.0,0
Rudy Gobert,0,-74.0,7.0,0
Marcus Morris,0,-4.0,-1.0,0
Trey Lyles,0,-147.0,-5.0,0
Andre Drummond,0,46.0,2.0,0
Rudy Gobert,0,-88.0,-1.0,0
Steve Blake,0,-45.0,3.0,0
Andre Drummond,1,0.0,1.0,0
Joe Ingles,0,-115.0,149.0,0
Kentavious Caldwell-Pope,1,-9.0,-1.0,0
Stanley Johnson,0,-1.0,10.0,0
Rodney Hood,1,-56.0,23.0,0
Stanley Johnson,0,46.0,11.0,0
Kentavious Caldwell-Pope,0,-212.0,136.0,0
Rudy Gobert,1,-4.0,-5.0,0
Derrick Favors,1,0.0,1.0,0
Kentavious Caldwell-Pope,1,2.0,-6.0,0
Raul Neto,1,240.0,21.0,0
Anthony Tolliver,0,-245.0,-1.0,0
Rodney Hood,1,-1.0,3.0,0
Stanley Johnson,0,51.0,11.0,0
Derrick Favors,1,-2.0,-5.0,0
Rodney Hood,0,-110.0,218.0,0
Reggie Jackson,1,50.0,13.0,0
Rodney Hood,0,-235.0,16.0,0
Andre Drummond,0,-7.0,-1.0,0
Reggie Jackson,0,-240.0,31.0,0
Rudy Gobert,1,0.0,1.0,0
Reggie Jackson,1,-9.0,-11.0,0
Derrick Favors,1,-4.0,2.0,0
Andre Drummond,1,0.0,1.0,0
Derrick Favors,0,-2.0,-5.0,0
Kentavious Caldwell-Pope,1,-233.0,72.0,0
Kentavious Caldwell-Pope,0,-92.0,237.0,0
Alec Burks,0,-43.0,16.0,0
Andre Drummond,1,-4.0,0.0,0
Stanley Johnson,0,55.0,16.0,0
Reggie Bullock,0,225.0,-1.0,0
Alec Burks,1,-6.0,2.0,0
Anthony Tolliver,0,-165.0,7.0,0
Raul Neto,0,-104.0,0.0,0
Anthony Tolliver,0,86.0,-1.0,0
Steve Blake,0,45.0,249.0,0
Kentavious Caldwell-Pope,1,-2.0,85.0,0
Raul Neto,0,94.0,13.0,0
Kentavious Caldwell-Pope,0,84.0,-10.0,0
Andre Drummond,0,-56.0,7.0,0
Reggie Jackson,0,-74.0,-5.0,0
Marcus Morris,0,51.0,-1.0,0
Gordon Hayward,1,0.0,-6.0,0
Reggie Jackson,1,-2.0,-5.0,0
Monta Ellis,0,227.0,11.0,0
DeMarre Carroll,1,-176.0,175.0,0
DeMar DeRozan,1,-114.0,43.0,0
Paul George,0,-104.0,134.0,0
DeMar DeRozan,1,-178.0,61.0,0
DeMarre Carroll,0,32.0,242.0,0
Paul George,1,0.0,1.0,1
DeMar DeRozan,1,228.0,8.0,0
Ian Mahinmi,1,-1.0,21.0,0
DeMar DeRozan,0,74.0,232.0,0
Kyle Lowry,1,-76.0,239.0,0
DeMar DeRozan,0,8.0,37.0,0
Monta Ellis,0,-30.0,193.0,0
George Hill,0,-233.0,7.0,0
Monta Ellis,0,9.0,23.0,0
Kyle Lowry,0,120.0,149.0,0
DeMarre Carroll,1,-43.0,51.0,0
Paul George,0,-227.0,13.0,0
Kyle Lowry,1,-27.0,8.0,0
George Hill,1,225.0,2.0,0
DeMarre Carroll,0,-53.0,61.0,0
Jordan Hill,0,-60.0,46.0,0
Jordan Hill,0,-6.0,228.0,0
Patrick Patterson,1,130.0,208.0,0
Rodney Stuckey,0,91.0,38.0,0
Paul George,0,163.0,120.0,0
